Start Date,End Date,occurrences,Activity,Project Name,BD25 Lead Producer
2025-03-31,2025-04-01,2,How Soon Is Now,ARCHIVE: How Soon Is Now (grant dependent),
2025-06-18,2025-07-01,14,Kaleidescope of Butterflies - Keighley Community Group visit (Keighley Association of Women and Children's Centre),Wild Uplands,Kat Boon
2025-05-28,2025-06-18,22,Kaleidoscope of Butterflies Wild Weds Family workshop,Wild Uplands,Kat Boon
2025-04-18,2025-05-11,24,Mint Tea Drink Offer,Frontline 1984-1985 by Victor Wedderburn,Kerry Campbell
2025-04-18,2025-05-11,24,26p Exhibition LIVE,Frontline 1984-1985 by Victor Wedderburn,Kerry Campbell
2025-04-18,2025-05-11,24,Board Game Offer,Frontline 1984-1985 by Victor Wedderburn,Kerry Campbell
2025-03-13,2025-04-06,25,Draw Your Own Extraordinary Portrait,BBC Extraordinary Portraits,Jessica
2024-09-08,2024-10-05,28,A Portrait of Us - Outdoor Exhibition,A Portrait of Us - Outdoor Exhibition,Jessica
2024-05-31,2024-06-29,30,Workshop with social media mentor  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-05-31,2024-06-29,30,Induction event for New Focus /  Bradford Young Curators  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-08-31,2024-09-29,30,2 workshops inside 2 wards to encourage people to share their photographs and family stories ,New Focus: Bradford Young Curators,Kerry Campbell
2025-03-31,2025-04-29,30,Curatorial workshop x2 ,New Focus: Bradford Young Curators,Kerry Campbell
2024-05-31,2024-06-29,30,1 day workshop - official induction with the whole project team / all mentors / New Focus / BYC / Bradford 2025. (face to face everybody get to know each other) ,New Focus: Bradford Young Curators,Kerry Campbell
2024-05-31,2024-06-29,30,R&D 1: Exploring instruments outdoors / amplification etc. ,The Bradford Progress,Kat Boon
2024-05-31,2024-06-29,30,Composer(s) confirmed,The Bradford Progress,Kat Boon
2024-05-31,2024-06-29,30,Marketing / audience plan finalised,The Bradford Progress,Kat Boon
2025-03-31,2025-04-29,30,Marketing campaign/distribution,The Bradford Progress,Kat Boon
2025-06-19,2025-07-19,31,The Girl,Bradford's Bigger Picture - Pictureville Year Round Programme,Kat Boon
2024-06-30,2024-07-30,31,One day workshop - Designing community workshops  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-06-30,2024-07-30,31,Afternoon workshop - Unlocking Bradford’s family stories  ,New Focus: Bradford Young Curators,Kerry Campbell
2025-07-31,2025-08-30,31,Workshop Developing the events programme  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-09-30,2024-10-30,31,Half day workshop -  discussing photos and stories uncovered in the community workshops ,New Focus: Bradford Young Curators,Kerry Campbell
2025-06-30,2025-07-30,31,Curatorial workshop - selecting work for the exhibition  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-07-31,2024-08-30,31,Launch of community workshops 3 workshops in 3 wards to encourage people to share their photographs and family stories.  ,New Focus: Bradford Young Curators,Kerry Campbell
2025-06-30,2025-07-30,31,Workshop- press and marketing  ,New Focus: Bradford Young Curators,Kerry Campbell
2025-06-30,2025-07-30,31,Workshop -  creating the events programme  ,New Focus: Bradford Young Curators,Kerry Campbell
2025-04-30,2025-05-30,31,Social media workshop  ,New Focus: Bradford Young Curators,Kerry Campbell
2024-07-31,2024-08-30,31,"Production team confirmed: Stage Management, Production Managers, Event Management, Engineers etc. ",The Bradford Progress,Kat Boon
2024-07-31,2024-08-30,31,Event route confirmed,The Bradford Progress,Kat Boon
2024-06-30,2024-07-30,31,(TBC) Participant soft call out (to be explored),The Bradford Progress,Kat Boon
2024-09-30,2024-10-30,31,Instrumentation confirmed,The Bradford Progress,Kat Boon
2024-06-30,2024-07-30,31,(TBC) Smoosh delivered as part of BD Fest,The Bradford Progress,Kat Boon
2024-06-30,2024-07-30,31,Key partners confirmed E.g. Commoners Choir or any other key groups/partners on the project.,The Bradford Progress,Kat Boon
2024-07-31,2024-08-30,31,Major venues/locations booked,The Bradford Progress,Kat Boon
2024-07-31,2024-08-30,31,"Any other Creative Team members confirmed E.g. Choreographer/Movement Director, Lighting Designer, Sound Designer etc. ",The Bradford Progress,Kat Boon
2024-04-30,2024-05-30,31,"Title, copy & images created - for announcement",The Bradford Progress,Kat Boon
2024-09-30,2024-10-30,31,Licencing / Event Management paperwork,The Bradford Progress,Kat Boon
2024-09-30,2024-10-30,31,"R&D 2: Exploring the music / score, if required. ",The Bradford Progress,Kat Boon
2025-06-15,2025-07-15,31,"Boxing Session 1 Introduction to Health & Wellbeing, Importance of focus and discipline, expectations from group, boxing techniques & Language, discipline and focus to support mental health & physical health. Workout 1 and shadow boxing, exercise. Group listening techniques.",Our Patch - Boxing for wellbeing Al Hira Mosque,
2025-06-30,2025-07-31,32,'Brought to Life' Season,Pictureville Screenings - 'Brought to Life' Season,Kat Boon
2025-07-31,2025-08-31,32,Epic Yorkshire Season I August I Dates and Programme TBC,Pictureville Screenings - Epic Yorkshire Season,Kat Boon
2025-06-14,2025-07-26,43,Tu I Tam in Poland,Tu i Tam / Tyt i Tam: Tim Smith & Lodz Fotofestival,Dan Kok
2024-12-10,2025-01-23,45,BBC Bitesize school events,BBC Bitesize,
2025-07-24,2025-09-07,46,"Railway Children Matinee Performances 13:00 Weds, Thurs, Fri and Sat until 7/9/25",The Railway Children,Abbe Robinson
2025-01-13,2025-02-27,46,The People Powered Press,The People Powered Press,Harry Jelley
2025-07-22,2025-09-07,48,Railway Children 18:30 Tuesdays to Sundays until 7/9/25,The Railway Children,Abbe Robinson
2025-07-15,2025-09-06,54,The Railway Children,The Railway Children,Abbe Robinson
2025-02-16,2025-04-12,56,Ramadan Pavillion Live,Ramadan Pavillion,Jessica
2025-01-01,2025-02-28,59,"Development and creative exploration sessions begin with collaborators and participants (including dance, art and multimedia exploration) ",Unseen by Ascendance,Kerry Campbell
2025-03-01,2025-04-29,60,Participants self led rehearsals (6-8 weeks),The Bradford Progress,Kat Boon
