Start Date,End Date,occurrences,Activity,Project Name,BD25 Lead Producer
2025-02-05,2015-02-05,-3652,Youth Opera Session 11 (Tong),"Sing, Dance, Leap",Alice Boulton-Breeze
2025-03-12,2015-03-12,-3652,Youth Opera Session 15 (Tong) ,"Sing, Dance, Leap",Alice Boulton-Breeze
2025-05-15,2025-01-10,-124,Press Trip - May 2025,Press Trips,
2025-06-09,2025-02-17,-111,Launch Event with British Library (Food Season) announcement and marketing begins,Bradford Selection,Alice Boulton-Breeze
2025-11-06,2025-09-23,-43,Miriam Lord x Priority Care Home Session 5,PLAY: Intergenerational Play,Andra Chelcea
2025-05-08,2025-04-08,-29,Stage 84 x Royal Opera Session 2,"Sing, Dance, Leap",Alice Boulton-Breeze
2025-06-09,2025-05-14,-25,Launch Event with British Library (Food Season),Bradford Selection,Alice Boulton-Breeze
2025-06-26,2025-06-19,-6,High Crags Primary Academy x Anchor Hallcroft Shipley Session 6,PLAY: Intergenerational Play,Andra Chelcea
2025-09-26,2025-09-23,-2,Ben Rhydding Primary x Mayfield Care Home Session 2,PLAY: Intergenerational Play,Andra Chelcea
2025-10-17,2025-10-14,-2,Bradford Forster Academy Session,Turner Prize,Molly Rigg
2026-02-05,2026-02-02,-2,"Zadie Xa - in conversation with Jennifer Higgie. Still need to work out timings and a venue, would ideally like to host in CH, perhaps in the collection space.",Turner Prize,Molly Rigg
2025-09-08,2025-09-07,0,village vangoghs,Our Patch - Tong Village - The Village Van Goghs,
2025-09-15,2025-09-14,0,Village Van Goghs,Our Patch - Tong Village - The Village Van Goghs,
2025-09-10,2025-09-09,0,Holme in the Wood cofee shop,Our Patch - Holme in the Wood coffee shop and Bierley Church - BD4 Artistes,
2025-06-15,2025-06-14,0,Street Choirs Festival - Day 3,Street Choirs Festival,
2025-05-01,2025-04-30,0,Cook healthy meals,Our Patch - Thornby Hub Cook Healthy Meals,
2025-05-01,2025-04-30,0,Familes and  Under 5's,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,
2025-04-17,2025-04-16,0,Mind The Gap rehearsal,The Bradford Progress,Kat Boon
2025-05-19,2025-05-18,0,Celebrations of Bradford 2025 and LNER Partnership - London event,Celebrations of Bradford 2025 and LNER Partnership,
2025-05-19,2025-05-18,0,Celebrations of Bradford 2025 and LNER Partnership - Bradford event,Celebrations of Bradford 2025 and LNER Partnership,
2025-05-01,2025-04-30,0,James Project Planning,Our Patch - Bagsy the Backseat,
2025-05-01,2025-04-30,0,Youth Service Planning,Our Patch - Bagsy the Backseat,
2025-05-01,2025-04-30,0,Girls Group,Our Patch - MAPA Girls Group,
2025-08-07,2025-08-06,0,Music Library at National Play Day Event @Barkerend Hub,Our Patch - Rhythms on The Road East,
2025-06-18,2025-06-17,0,BD25 Volunteer Session,A Good Yarn: Luke Jerram,Helen Wells
2025-05-01,2025-04-30,0,Youth Zen Den,Our Patch - Youth Zen Den,
2025-04-30,2025-04-29,0,European Season Launch Event,European Season Launch Event,Dan Kok
