month,event_type,variable_group,variable,value
2023-07-01,ALL,ALL,audience,250
2023-07-01,ALL,ALL,events,1
2023-11-01,ALL,ALL,audience,32000
2023-11-01,ALL,ALL,events,2
2023-11-01,ALL,ALL,participant_instances,0
2023-11-01,ALL,ALL,participants,0
2024-01-01,ALL,ALL,audience,0
2024-01-01,ALL,ALL,events,3
2024-01-01,ALL,ALL,participant_instances,45
2024-01-01,ALL,ALL,participants,27
2024-02-01,ALL,ALL,audience,0
2024-02-01,ALL,ALL,events,7
2024-02-01,ALL,ALL,participant_instances,59
2024-02-01,ALL,ALL,participants,40
2024-03-01,ALL,ALL,audience,0
2024-03-01,ALL,ALL,events,3
2024-03-01,ALL,ALL,participant_instances,79
2024-03-01,ALL,ALL,participants,79
2024-04-01,ALL,ALL,audience,0
2024-04-01,ALL,ALL,events,4
2024-04-01,ALL,ALL,participant_instances,102
2024-04-01,ALL,ALL,participants,100
2024-05-01,ALL,ALL,audience,68768
2024-05-01,ALL,ALL,events,73
2024-05-01,ALL,ALL,interactions,11022
2024-05-01,ALL,ALL,participant_instances,946
2024-05-01,ALL,ALL,participants,346
2024-06-01,ALL,ALL,audience,20833
2024-06-01,ALL,ALL,events,72
2024-06-01,ALL,ALL,interactions,10296
2024-06-01,ALL,ALL,participant_instances,537
2024-06-01,ALL,ALL,participants,517
2024-07-01,ALL,ALL,audience,21083
2024-07-01,ALL,ALL,events,63
2024-07-01,ALL,ALL,interactions,16449
2024-07-01,ALL,ALL,participant_instances,60
2024-07-01,ALL,ALL,participants,60
2024-08-01,ALL,ALL,audience,31065
2024-08-01,ALL,ALL,events,76
2024-08-01,ALL,ALL,interactions,16679
2024-08-01,ALL,ALL,participant_instances,421
2024-08-01,ALL,ALL,participants,388
2024-09-01,ALL,ALL,audience,739579
2024-09-01,ALL,ALL,events,106
2024-09-01,ALL,ALL,interactions,16339
2024-09-01,ALL,ALL,participant_instances,2854
2024-09-01,ALL,ALL,participants,2710
2024-10-01,ALL,ALL,audience,0
2024-10-01,ALL,ALL,events,49
2024-10-01,ALL,ALL,interactions,9699
2024-10-01,ALL,ALL,participant_instances,1809
2024-10-01,ALL,ALL,participants,1627
2024-11-01,ALL,ALL,audience,23990
2024-11-01,ALL,ALL,events,63
2024-11-01,ALL,ALL,interactions,14176
2024-11-01,ALL,ALL,participant_instances,1372
2024-11-01,ALL,ALL,participants,768
2024-12-01,ALL,ALL,audience,22436
2024-12-01,ALL,ALL,events,53
2024-12-01,ALL,ALL,interactions,39919
2024-12-01,ALL,ALL,participant_instances,1561
2024-12-01,ALL,ALL,participants,495
2025-01-01,ALL,ALL,audience,88903
2025-01-01,ALL,ALL,events,311
2025-01-01,ALL,ALL,interactions,172684
2025-01-01,ALL,ALL,participant_instances,4451
2025-01-01,ALL,ALL,participants,2122
2025-02-01,ALL,ALL,audience,295062
2025-02-01,ALL,ALL,events,605
2025-02-01,ALL,ALL,interactions,152417
2025-02-01,ALL,ALL,participant_instances,6126
2025-02-01,ALL,ALL,participants,3150
2025-03-01,ALL,ALL,audience,109683
2025-03-01,ALL,ALL,events,532
2025-03-01,ALL,ALL,interactions,210613
2025-03-01,ALL,ALL,participant_instances,7952
2025-03-01,ALL,ALL,participants,3703
2025-04-01,ALL,ALL,audience,391034
2025-04-01,ALL,ALL,events,755
2025-04-01,ALL,ALL,interactions,204063
2025-04-01,ALL,ALL,participant_instances,14474
2025-04-01,ALL,ALL,participants,9637
2025-05-01,ALL,ALL,audience,191627
2025-05-01,ALL,ALL,events,1183
2025-05-01,ALL,ALL,interactions,375706
2025-05-01,ALL,ALL,participant_instances,15086
2025-05-01,ALL,ALL,participants,8748
2025-06-01,ALL,ALL,audience,118905
2025-06-01,ALL,ALL,events,830
2025-06-01,ALL,ALL,interactions,193220
2025-06-01,ALL,ALL,participant_instances,22566
2025-06-01,ALL,ALL,participants,9706
2025-07-01,ALL,ALL,audience,109426
2025-07-01,ALL,ALL,events,736
2025-07-01,ALL,ALL,interactions,267949
2025-07-01,ALL,ALL,participant_instances,24553
2025-07-01,ALL,ALL,participants,14377
2025-08-01,ALL,ALL,audience,117361
2025-08-01,ALL,ALL,events,714
2025-08-01,ALL,ALL,interactions,268695
2025-08-01,ALL,ALL,participant_instances,16718
2025-08-01,ALL,ALL,participants,10950
2025-09-01,ALL,ALL,audience,86558
2025-09-01,ALL,ALL,events,651
2025-09-01,ALL,ALL,interactions,263348
2025-09-01,ALL,ALL,participant_instances,18378
2025-09-01,ALL,ALL,participants,10414
2025-10-01,ALL,ALL,audience,128305
2025-10-01,ALL,ALL,events,682
2025-10-01,ALL,ALL,interactions,224468
2025-10-01,ALL,ALL,participant_instances,13361
2025-10-01,ALL,ALL,participants,7016
2025-11-01,ALL,ALL,audience,178943
2025-11-01,ALL,ALL,events,572
2025-11-01,ALL,ALL,interactions,217570
2025-11-01,ALL,ALL,participant_instances,16356
2025-11-01,ALL,ALL,participants,6835
2025-12-01,ALL,ALL,audience,2351
2025-12-01,ALL,ALL,events,107
2025-12-01,ALL,ALL,interactions,35500
2025-12-01,ALL,ALL,participant_instances,10174
2025-12-01,ALL,ALL,participants,2404
2023-07-01,,ALL,audience,250
2023-07-01,,ALL,events,1
2023-11-01,,ALL,audience,0
2023-11-01,,ALL,events,1
2023-11-01,,ALL,participant_instances,0
2023-11-01,,ALL,participants,0
2023-11-01,Open,ALL,audience,32000
2023-11-01,Open,ALL,events,1
2023-11-01,Open,ALL,participant_instances,0
2023-11-01,Open,ALL,participants,0
2024-01-01,Closed,ALL,audience,0
2024-01-01,Closed,ALL,events,3
2024-01-01,Closed,ALL,participant_instances,45
2024-01-01,Closed,ALL,participants,27
2024-02-01,Closed,ALL,audience,0
2024-02-01,Closed,ALL,events,7
2024-02-01,Closed,ALL,participant_instances,59
2024-02-01,Closed,ALL,participants,40
2024-03-01,Closed,ALL,audience,0
2024-03-01,Closed,ALL,events,3
2024-03-01,Closed,ALL,participant_instances,79
2024-03-01,Closed,ALL,participants,79
2024-04-01,,ALL,audience,0
2024-04-01,,ALL,participant_instances,25
2024-04-01,,ALL,participants,25
2024-04-01,Closed,ALL,audience,0
2024-04-01,Closed,ALL,events,4
2024-04-01,Closed,ALL,participant_instances,77
2024-04-01,Closed,ALL,participants,75
2024-05-01,,ALL,audience,325
2024-05-01,,ALL,events,15
2024-05-01,,ALL,interactions,11022
2024-05-01,,ALL,participant_instances,450
2024-05-01,,ALL,participants,150
2024-05-01,Closed,ALL,audience,0
2024-05-01,Closed,ALL,events,4
2024-05-01,Closed,ALL,participant_instances,470
2024-05-01,Closed,ALL,participants,170
2024-05-01,Open,ALL,audience,68443
2024-05-01,Open,ALL,events,54
2024-05-01,Open,ALL,participant_instances,26
2024-05-01,Open,ALL,participants,26
2024-06-01,,ALL,audience,0
2024-06-01,,ALL,events,34
2024-06-01,,ALL,interactions,10296
2024-06-01,,ALL,participant_instances,234
2024-06-01,,ALL,participants,234
2024-06-01,Closed,ALL,audience,0
2024-06-01,Closed,ALL,events,7
2024-06-01,Closed,ALL,participant_instances,303
2024-06-01,Closed,ALL,participants,283
2024-06-01,Open,ALL,audience,20833
2024-06-01,Open,ALL,events,31
2024-06-01,Open,ALL,participant_instances,0
2024-06-01,Open,ALL,participants,0
2024-07-01,,ALL,audience,250
2024-07-01,,ALL,events,29
2024-07-01,,ALL,interactions,16449
2024-07-01,,ALL,participant_instances,27
2024-07-01,,ALL,participants,27
2024-07-01,Closed,ALL,audience,0
2024-07-01,Closed,ALL,events,3
2024-07-01,Closed,ALL,participant_instances,33
2024-07-01,Closed,ALL,participants,33
2024-07-01,Open,ALL,audience,20833
2024-07-01,Open,ALL,events,31
2024-07-01,Open,ALL,participant_instances,0
2024-07-01,Open,ALL,participants,0
2024-08-01,,ALL,audience,5000
2024-08-01,,ALL,events,29
2024-08-01,,ALL,interactions,16679
2024-08-01,,ALL,participant_instances,0
2024-08-01,,ALL,participants,0
2024-08-01,Closed,ALL,audience,0
2024-08-01,Closed,ALL,events,2
2024-08-01,Closed,ALL,participant_instances,38
2024-08-01,Closed,ALL,participants,36
2024-08-01,Open,ALL,audience,26065
2024-08-01,Open,ALL,events,45
2024-08-01,Open,ALL,participant_instances,383
2024-08-01,Open,ALL,participants,352
2024-09-01,,ALL,audience,25
2024-09-01,,ALL,events,28
2024-09-01,,ALL,interactions,16339
2024-09-01,,ALL,participant_instances,1427
2024-09-01,,ALL,participants,1355
2024-09-01,Closed,ALL,audience,42
2024-09-01,Closed,ALL,events,45
2024-09-01,Closed,ALL,participant_instances,1427
2024-09-01,Closed,ALL,participants,1355
2024-09-01,Open,ALL,audience,739512
2024-09-01,Open,ALL,events,33
2024-09-01,Open,ALL,participant_instances,0
2024-09-01,Open,ALL,participants,0
2024-10-01,,ALL,audience,0
2024-10-01,,ALL,events,13
2024-10-01,,ALL,interactions,9699
2024-10-01,,ALL,participant_instances,782
2024-10-01,,ALL,participants,725
2024-10-01,Closed,ALL,audience,0
2024-10-01,Closed,ALL,events,36
2024-10-01,Closed,ALL,participant_instances,1027
2024-10-01,Closed,ALL,participants,902
2024-11-01,,ALL,audience,280
2024-11-01,,ALL,events,2
2024-11-01,,ALL,interactions,14176
2024-11-01,,ALL,participant_instances,351
2024-11-01,,ALL,participants,444
2024-11-01,Closed,ALL,audience,0
2024-11-01,Closed,ALL,events,30
2024-11-01,Closed,ALL,participant_instances,968
2024-11-01,Closed,ALL,participants,271
2024-11-01,Open,ALL,audience,23710
2024-11-01,Open,ALL,events,31
2024-11-01,Open,ALL,participant_instances,53
2024-11-01,Open,ALL,participants,53
2024-12-01,,ALL,audience,0
