aggregation,event_type,evaluation_category,variable,value
TOTAL,ALL,ALL,audience,2778162
TOTAL,ALL,ALL,events,8253
BY_EVENT_TYPE,Closed,ALL,audience,8590
BY_EVENT_TYPE,Closed,ALL,events,2416
BY_EVENT_TYPE,Open,ALL,audience,2769572
BY_EVENT_TYPE,Open,ALL,events,5837
BY_EVAL_CAT,ALL,Community-led arts event,events,53
BY_EVAL_CAT,ALL,Digital,audience,8567
BY_EVAL_CAT,ALL,Digital,events,4
BY_EVAL_CAT,ALL,Exhibition,audience,1854686
BY_EVAL_CAT,ALL,Exhibition,events,2734
BY_EVAL_CAT,ALL,Festival,audience,10714
BY_EVAL_CAT,ALL,Festival,events,113
BY_EVAL_CAT,ALL,Film,audience,22356
BY_EVAL_CAT,ALL,Film,events,1457
BY_EVAL_CAT,ALL,In-person,audience,881839
BY_EVAL_CAT,ALL,In-person,events,3457
BY_EVAL_CAT,ALL,Training and skills development,events,435
