start,geography_type,geography_code,count_of_tickets
ALL,oslaua,E06000001,3
ALL,oslaua,E06000002,9
ALL,oslaua,E06000004,16
ALL,oslaua,E06000005,9
ALL,oslaua,E06000006,3
ALL,oslaua,E06000008,14
ALL,oslaua,E06000010,74
ALL,oslaua,E06000011,45
ALL,oslaua,E06000012,4
ALL,oslaua,E06000013,4
ALL,oslaua,E06000014,82
ALL,oslaua,E06000016,8
ALL,oslaua,E06000018,5
ALL,oslaua,E06000021,9
ALL,oslaua,E06000025,1
ALL,oslaua,E06000026,4
ALL,oslaua,E06000030,5
ALL,oslaua,E06000035,2
ALL,oslaua,E06000044,1
ALL,oslaua,E06000049,7
ALL,oslaua,E06000050,8
ALL,oslaua,E06000051,4
ALL,oslaua,E06000054,1
ALL,oslaua,E06000056,2
ALL,oslaua,E06000057,1
ALL,oslaua,E06000060,2
ALL,oslaua,E06000061,4
ALL,oslaua,E06000062,2
ALL,oslaua,E06000063,4
ALL,oslaua,E06000064,4
ALL,oslaua,E06000065,654
ALL,oslaua,E07000032,2
ALL,oslaua,E07000035,7
ALL,oslaua,E07000062,5
ALL,oslaua,E07000068,1
ALL,oslaua,E07000081,2
ALL,oslaua,E07000082,4
ALL,oslaua,E07000099,2
ALL,oslaua,E07000115,2
ALL,oslaua,E07000117,5
ALL,oslaua,E07000118,5
ALL,oslaua,E07000121,13
ALL,oslaua,E07000122,19
ALL,oslaua,E07000123,2
ALL,oslaua,E07000124,2
ALL,oslaua,E07000125,5
ALL,oslaua,E07000126,6
ALL,oslaua,E07000127,5
ALL,oslaua,E07000128,1
ALL,oslaua,E07000130,11
ALL,oslaua,E07000138,2
ALL,oslaua,E07000140,2
ALL,oslaua,E07000141,4
ALL,oslaua,E07000142,3
ALL,oslaua,E07000146,2
ALL,oslaua,E07000171,2
ALL,oslaua,E07000175,7
ALL,oslaua,E07000177,1
ALL,oslaua,E07000179,3
ALL,oslaua,E07000198,2
ALL,oslaua,E07000209,1
ALL,oslaua,E07000214,1
ALL,oslaua,E07000215,2
ALL,oslaua,E07000216,3
ALL,oslaua,E07000222,3
ALL,oslaua,E07000225,2
ALL,oslaua,E07000229,3
ALL,oslaua,E07000234,5
ALL,oslaua,E07000244,6
ALL,oslaua,E08000002,26
ALL,oslaua,E08000003,62
ALL,oslaua,E08000004,13
ALL,oslaua,E08000005,10
ALL,oslaua,E08000006,12
ALL,oslaua,E08000007,16
ALL,oslaua,E08000008,2
ALL,oslaua,E08000009,27
ALL,oslaua,E08000010,2
ALL,oslaua,E08000012,13
ALL,oslaua,E08000013,4
ALL,oslaua,E08000014,20
ALL,oslaua,E08000015,3
ALL,oslaua,E08000016,19
ALL,oslaua,E08000017,19
ALL,oslaua,E08000018,18
ALL,oslaua,E08000019,59
ALL,oslaua,E08000021,5
ALL,oslaua,E08000022,4
ALL,oslaua,E08000024,4
ALL,oslaua,E08000025,11
ALL,oslaua,E08000026,9
ALL,oslaua,E08000027,9
ALL,oslaua,E08000029,4
ALL,oslaua,E08000030,2
ALL,oslaua,E08000032,12543
ALL,oslaua,E08000033,1165
ALL,oslaua,E08000034,870
ALL,oslaua,E08000035,2524
ALL,oslaua,E08000036,136
ALL,oslaua,E08000037,10
ALL,oslaua,E09000007,4
ALL,oslaua,E09000008,4
ALL,oslaua,E09000009,1
ALL,oslaua,E09000011,7
ALL,oslaua,E09000012,6
ALL,oslaua,E09000013,2
ALL,oslaua,E09000014,6
ALL,oslaua,E09000019,10
ALL,oslaua,E09000026,9
ALL,oslaua,E09000027,13
ALL,oslaua,E09000028,2
ALL,oslaua,E09000029,1
ALL,oslaua,E09000030,5
ALL,oslaua,E09000031,5
ALL,oslaua,E09000032,1
ALL,oslaua,MISSING,4658
ALL,oslaua,N09000003,2
ALL,oslaua,N09000007,1
ALL,oslaua,S12000014,6
ALL,oslaua,S12000023,1
ALL,oslaua,S12000047,2
ALL,oslaua,S12000048,5
ALL,oslaua,S12000049,16
ALL,oslaua,UNMATCHED,64
ALL,oslaua,W06000002,4
ALL,oslaua,W06000003,10
ALL,oslaua,W06000005,4
ALL,oslaua,W06000006,5
ALL,oslaua,W06000011,2
ALL,oslaua,W06000015,15
ALL,oslaua,W06000016,4
ALL,osward,E05001341,722
ALL,osward,E05001342,737
ALL,osward,E05001343,622
ALL,osward,E05001344,441
ALL,osward,E05001345,325
ALL,osward,E05001346,92
ALL,osward,E05001347,646
ALL,osward,E05001348,472
ALL,osward,E05001349,233
ALL,osward,E05001350,340
ALL,osward,E05001351,178
ALL,osward,E05001352,522
ALL,osward,E05001353,551
ALL,osward,E05001354,401
ALL,osward,E05001355,53
ALL,osward,E05001356,333
ALL,osward,E05001357,115
ALL,osward,E05001358,204
ALL,osward,E05001359,149
ALL,osward,E05001360,412
ALL,osward,E05001361,336
ALL,osward,E05001362,2030
ALL,osward,E05001363,638
ALL,osward,E05001364,259
ALL,osward,E05001365,273
ALL,osward,E05001366,286
ALL,osward,E05001367,329
ALL,osward,E05001368,338
ALL,osward,E05001369,257
ALL,osward,E05001370,249
ALL,osward,OTHER,11097
ALL,postcode_area,BD1,364
ALL,postcode_area,BD10,618
ALL,postcode_area,BD11,2
ALL,postcode_area,BD12,253
ALL,postcode_area,BD13,779
ALL,postcode_area,BD14,289
ALL,postcode_area,BD15,440
ALL,postcode_area,BD16,1022
ALL,postcode_area,BD17,1018
ALL,postcode_area,BD18,2044
ALL,postcode_area,BD2,781
ALL,postcode_area,BD20,442
ALL,postcode_area,BD21,164
ALL,postcode_area,BD22,334
ALL,postcode_area,BD3,216
ALL,postcode_area,BD4,479
ALL,postcode_area,BD5,343
ALL,postcode_area,BD6,706
ALL,postcode_area,BD7,462
ALL,postcode_area,BD8,416
ALL,postcode_area,BD9,635
ALL,postcode_area,LS29,736
ALL,postcode_area,OTHER,11097
2025-01-10 18:30:00,oslaua,E06000002,6
2025-01-10 18:30:00,oslaua,E06000004,10
