datestamp,centre_name,value
2019-02-01,Bowling Park - BD4 7,192440
2019-03-01,Bowling Park - BD4 7,813046
2019-04-01,Bowling Park - BD4 7,584686
2019-05-01,Bowling Park - BD4 7,443932
2019-06-01,Bowling Park - BD4 7,327761
2019-07-01,Bowling Park - BD4 7,326390
2019-08-01,Bowling Park - BD4 7,322324
2019-09-01,Bowling Park - BD4 7,222708
2019-10-01,Bowling Park - BD4 7,159791
2019-11-01,Bowling Park - BD4 7,167535
2019-12-01,Bowling Park - BD4 7,122657
2020-01-01,Bowling Park - BD4 7,87889
2020-02-01,Bowling Park - BD4 7,75912
2020-03-01,Bowling Park - BD4 7,86424
2020-04-01,Bowling Park - BD4 7,91971
2020-05-01,Bowling Park - BD4 7,96460
2020-06-01,Bowling Park - BD4 7,107655
2020-07-01,Bowling Park - BD4 7,82423
2020-08-01,Bowling Park - BD4 7,50993
2020-09-01,Bowling Park - BD4 7,50742
2020-10-01,Bowling Park - BD4 7,44009
2020-11-01,Bowling Park - BD4 7,33189
2020-12-01,Bowling Park - BD4 7,29922
2021-01-01,Bowling Park - BD4 7,30551
2021-02-01,Bowling Park - BD4 7,29489
2021-03-01,Bowling Park - BD4 7,35131
2021-04-01,Bowling Park - BD4 7,35446
2021-05-01,Bowling Park - BD4 7,38291
2021-06-01,Bowling Park - BD4 7,40156
2021-07-01,Bowling Park - BD4 7,49609
2021-08-01,Bowling Park - BD4 7,42822
2021-09-01,Bowling Park - BD4 7,39899
2021-10-01,Bowling Park - BD4 7,44986
2021-11-01,Bowling Park - BD4 7,46719
2021-12-01,Bowling Park - BD4 7,69510
2022-01-01,Bowling Park - BD4 7,68601
2022-02-01,Bowling Park - BD4 7,49316
2022-03-01,Bowling Park - BD4 7,54954
2022-04-01,Bowling Park - BD4 7,66965
2022-05-01,Bowling Park - BD4 7,89516
2022-06-01,Bowling Park - BD4 7,92123
2022-07-01,Bowling Park - BD4 7,110034
2022-08-01,Bowling Park - BD4 7,144113
2022-09-01,Bowling Park - BD4 7,170227
2022-10-01,Bowling Park - BD4 7,181884
2022-11-01,Bowling Park - BD4 7,170383
2022-12-01,Bowling Park - BD4 7,179568
2023-01-01,Bowling Park - BD4 7,191516
2023-02-01,Bowling Park - BD4 7,182716
2023-03-01,Bowling Park - BD4 7,225894
2023-04-01,Bowling Park - BD4 7,259660
2023-05-01,Bowling Park - BD4 7,273415
2023-06-01,Bowling Park - BD4 7,241201
2023-07-01,Bowling Park - BD4 7,241886
2023-08-01,Bowling Park - BD4 7,240500
2023-09-01,Bowling Park - BD4 7,292075
2023-10-01,Bowling Park - BD4 7,410851
2023-11-01,Bowling Park - BD4 7,332222
2023-12-01,Bowling Park - BD4 7,254076
2024-01-01,Bowling Park - BD4 7,279635
2024-02-01,Bowling Park - BD4 7,284312
2024-03-01,Bowling Park - BD4 7,324490
2024-04-01,Bowling Park - BD4 7,331752
2024-05-01,Bowling Park - BD4 7,278878
2024-06-01,Bowling Park - BD4 7,180082
2024-07-01,Bowling Park - BD4 7,181917
2024-08-01,Bowling Park - BD4 7,187222
2024-09-01,Bowling Park - BD4 7,181401
2024-10-01,Bowling Park - BD4 7,194582
2024-11-01,Bowling Park - BD4 7,185642
2024-12-01,Bowling Park - BD4 7,170261
2025-01-01,Bowling Park - BD4 7,151061
2025-02-01,Bowling Park - BD4 7,123440
2025-03-01,Bowling Park - BD4 7,123838
2025-04-01,Bowling Park - BD4 7,133306
2025-05-01,Bowling Park - BD4 7,164707
2025-06-01,Bowling Park - BD4 7,177999
2025-07-01,Bowling Park - BD4 7,196850
2025-08-01,Bowling Park - BD4 7,181406
2025-09-01,Bowling Park - BD4 7,178942
2025-10-01,Bowling Park - BD4 7,152460
