datestamp,centre_name,value
2019-01-01,Bradford BID,90080
2019-01-02,Bradford BID,106475
2019-01-03,Bradford BID,109110
2019-01-04,Bradford BID,104225
2019-01-05,Bradford BID,97116
2019-01-06,Bradford BID,62446
2019-01-07,Bradford BID,96888
2019-01-08,Bradford BID,88864
2019-01-09,Bradford BID,99368
2019-01-10,Bradford BID,104200
2019-01-11,Bradford BID,92158
2019-01-12,Bradford BID,91992
2019-01-13,Bradford BID,62775
2019-01-14,Bradford BID,101163
2019-01-15,Bradford BID,91650
2019-01-16,Bradford BID,90845
2019-01-17,Bradford BID,89936
2019-01-18,Bradford BID,94466
2019-01-19,Bradford BID,89360
2019-01-20,Bradford BID,64994
2019-01-21,Bradford BID,116149
2019-01-22,Bradford BID,93574
2019-01-23,Bradford BID,93574
2019-01-24,Bradford BID,97569
2019-01-25,Bradford BID,83645
2019-01-26,Bradford BID,95032
2019-01-27,Bradford BID,68457
2019-01-28,Bradford BID,111748
2019-01-29,Bradford BID,98158
2019-01-30,Bradford BID,94542
2019-01-31,Bradford BID,92741
2019-02-01,Bradford BID,89792
2019-02-02,Bradford BID,89641
2019-02-03,Bradford BID,67544
2019-02-04,Bradford BID,104279
2019-02-05,Bradford BID,91366
2019-02-06,Bradford BID,90102
2019-02-07,Bradford BID,92006
2019-02-08,Bradford BID,86789
2019-02-09,Bradford BID,84620
2019-02-10,Bradford BID,62077
2019-02-11,Bradford BID,107629
2019-02-12,Bradford BID,95603
2019-02-13,Bradford BID,89417
2019-02-14,Bradford BID,80631
2019-02-15,Bradford BID,76414
2019-02-16,Bradford BID,86929
2019-02-17,Bradford BID,63793
2019-02-18,Bradford BID,101410
2019-02-19,Bradford BID,101525
2019-02-20,Bradford BID,77193
2019-02-21,Bradford BID,92063
2019-02-22,Bradford BID,98687
2019-02-23,Bradford BID,90218
2019-02-24,Bradford BID,66528
2019-02-25,Bradford BID,109529
2019-02-26,Bradford BID,113623
2019-02-27,Bradford BID,84956
2019-02-28,Bradford BID,101804
2019-03-01,Bradford BID,118005
2019-03-02,Bradford BID,93369
2019-03-03,Bradford BID,74993
2019-03-04,Bradford BID,118083
2019-03-05,Bradford BID,114695
2019-03-06,Bradford BID,97266
2019-03-07,Bradford BID,123085
2019-03-08,Bradford BID,113754
2019-03-09,Bradford BID,98776
2019-03-10,Bradford BID,72138
2019-03-11,Bradford BID,117679
2019-03-12,Bradford BID,129639
2019-03-13,Bradford BID,108786
2019-03-14,Bradford BID,129698
2019-03-15,Bradford BID,119259
2019-03-16,Bradford BID,96529
2019-03-17,Bradford BID,76788
2019-03-18,Bradford BID,132119
2019-03-19,Bradford BID,130584
2019-03-20,Bradford BID,114396
2019-03-21,Bradford BID,136902
2019-03-22,Bradford BID,114564
2019-03-23,Bradford BID,106874
2019-03-24,Bradford BID,71432
2019-03-25,Bradford BID,128452
2019-03-26,Bradford BID,133440
2019-03-27,Bradford BID,119703
2019-03-28,Bradford BID,136503
2019-03-29,Bradford BID,110735
2019-03-30,Bradford BID,104100
2019-03-31,Bradford BID,80050
2019-04-01,Bradford BID,132640
2019-04-02,Bradford BID,145537
2019-04-03,Bradford BID,125945
2019-04-04,Bradford BID,136248
2019-04-05,Bradford BID,128515
2019-04-06,Bradford BID,106775
2019-04-07,Bradford BID,83500
2019-04-08,Bradford BID,137134
2019-04-09,Bradford BID,137945
2019-04-10,Bradford BID,123381
2019-04-11,Bradford BID,128860
2019-04-12,Bradford BID,120847
2019-04-13,Bradford BID,116180
2019-04-14,Bradford BID,98855
2019-04-15,Bradford BID,137953
2019-04-16,Bradford BID,125423
2019-04-17,Bradford BID,119248
2019-04-18,Bradford BID,124434
2019-04-19,Bradford BID,111301
2019-04-20,Bradford BID,123125
2019-04-21,Bradford BID,97177
2019-04-22,Bradford BID,125396
2019-04-23,Bradford BID,126935
2019-04-24,Bradford BID,122140
2019-04-25,Bradford BID,113361
2019-04-26,Bradford BID,113615
2019-04-27,Bradford BID,134152
2019-04-28,Bradford BID,103282
2019-04-29,Bradford BID,121827
2019-04-30,Bradford BID,111317
2019-05-01,Bradford BID,107210
2019-05-02,Bradford BID,112544
2019-05-03,Bradford BID,115080
2019-05-04,Bradford BID,138965
2019-05-05,Bradford BID,107792
2019-05-06,Bradford BID,108894
2019-05-07,Bradford BID,113878
2019-05-08,Bradford BID,110304
2019-05-09,Bradford BID,111623
2019-05-10,Bradford BID,113747
2019-05-11,Bradford BID,126653
2019-05-12,Bradford BID,101837
2019-05-13,Bradford BID,104494
2019-05-14,Bradford BID,116771
2019-05-15,Bradford BID,103475
2019-05-16,Bradford BID,104638
2019-05-17,Bradford BID,123529
2019-05-18,Bradford BID,130213
2019-05-19,Bradford BID,99303
2019-05-20,Bradford BID,101031
2019-05-21,Bradford BID,104618
2019-05-22,Bradford BID,109979
2019-05-23,Bradford BID,116011
2019-05-24,Bradford BID,115982
2019-05-25,Bradford BID,124693
2019-05-26,Bradford BID,96190
2019-05-27,Bradford BID,104470
2019-05-28,Bradford BID,117879
2019-05-29,Bradford BID,116254
2019-05-30,Bradford BID,118392
2019-05-31,Bradford BID,119729
2019-06-01,Bradford BID,112078
2019-06-02,Bradford BID,89704
2019-06-03,Bradford BID,117871
2019-06-04,Bradford BID,121914
2019-06-05,Bradford BID,126479
2019-06-06,Bradford BID,127183
2019-06-07,Bradford BID,121057
2019-06-08,Bradford BID,113740
2019-06-09,Bradford BID,93634
2019-06-10,Bradford BID,123302
2019-06-11,Bradford BID,119336
2019-06-12,Bradford BID,122057
2019-06-13,Bradford BID,124806
2019-06-14,Bradford BID,121563
2019-06-15,Bradford BID,99292
2019-06-16,Bradford BID,92499
2019-06-17,Bradford BID,124757
2019-06-18,Bradford BID,122223
2019-06-19,Bradford BID,130759
2019-06-20,Bradford BID,114844
2019-06-21,Bradford BID,124786
2019-06-22,Bradford BID,104809
2019-06-23,Bradford BID,81287
2019-06-24,Bradford BID,133190
2019-06-25,Bradford BID,120519
2019-06-26,Bradford BID,137663
2019-06-27,Bradford BID,119977
2019-06-28,Bradford BID,135983
2019-06-29,Bradford BID,113990
2019-06-30,Bradford BID,92640
2019-07-01,Bradford BID,134654
2019-07-02,Bradford BID,120339
2019-07-03,Bradford BID,139852
2019-07-04,Bradford BID,131417
2019-07-05,Bradford BID,133570
2019-07-06,Bradford BID,123513
2019-07-07,Bradford BID,96325
2019-07-08,Bradford BID,133778
2019-07-09,Bradford BID,134206
2019-07-10,Bradford BID,136093
2019-07-11,Bradford BID,125862
2019-07-12,Bradford BID,135615
2019-07-13,Bradford BID,123242
2019-07-14,Bradford BID,103901
2019-07-15,Bradford BID,145687
2019-07-16,Bradford BID,135430
2019-07-17,Bradford BID,147940
2019-07-18,Bradford BID,130065
2019-07-19,Bradford BID,139341
2019-07-20,Bradford BID,128366
2019-07-21,Bradford BID,101005
2019-07-22,Bradford BID,148225
2019-07-23,Bradford BID,144399
2019-07-24,Bradford BID,154062
2019-07-25,Bradford BID,139645
2019-07-26,Bradford BID,147806
2019-07-27,Bradford BID,128112
2019-07-28,Bradford BID,98574
2019-07-29,Bradford BID,149688
2019-07-30,Bradford BID,148177
2019-07-31,Bradford BID,163447
2019-08-01,Bradford BID,148498
2019-08-02,Bradford BID,151144
2019-08-03,Bradford BID,141777
2019-08-04,Bradford BID,102496
2019-08-05,Bradford BID,150494
2019-08-06,Bradford BID,158881
2019-08-07,Bradford BID,171279
2019-08-08,Bradford BID,159168
2019-08-09,Bradford BID,154241
2019-08-10,Bradford BID,143065
2019-08-11,Bradford BID,109904
2019-08-12,Bradford BID,156328
2019-08-13,Bradford BID,158050
2019-08-14,Bradford BID,159935
2019-08-15,Bradford BID,157848
2019-08-16,Bradford BID,153592
2019-08-17,Bradford BID,146061
2019-08-18,Bradford BID,110682
2019-08-19,Bradford BID,164792
2019-08-20,Bradford BID,158504
2019-08-21,Bradford BID,156692
2019-08-22,Bradford BID,159300
2019-08-23,Bradford BID,152285
2019-08-24,Bradford BID,140377
2019-08-25,Bradford BID,111117
2019-08-26,Bradford BID,169434
2019-08-27,Bradford BID,144724
2019-08-28,Bradford BID,155773
2019-08-29,Bradford BID,169432
2019-08-30,Bradford BID,156976
2019-08-31,Bradford BID,147735
2019-09-01,Bradford BID,106089
2019-09-02,Bradford BID,159996
2019-09-03,Bradford BID,137227
2019-09-04,Bradford BID,144730
2019-09-05,Bradford BID,161307
2019-09-06,Bradford BID,151141
2019-09-07,Bradford BID,143972
2019-09-08,Bradford BID,102824
2019-09-09,Bradford BID,143429
2019-09-10,Bradford BID,130496
2019-09-11,Bradford BID,138073
2019-09-12,Bradford BID,149236
2019-09-13,Bradford BID,146064
2019-09-14,Bradford BID,138913
2019-09-15,Bradford BID,100526
2019-09-16,Bradford BID,144629
2019-09-17,Bradford BID,130645
2019-09-18,Bradford BID,133604
2019-09-19,Bradford BID,147154
2019-09-20,Bradford BID,147302
2019-09-21,Bradford BID,130266
2019-09-22,Bradford BID,93820
2019-09-23,Bradford BID,140066
2019-09-24,Bradford BID,123568
2019-09-25,Bradford BID,124778
2019-09-26,Bradford BID,143658
2019-09-27,Bradford BID,149143
2019-09-28,Bradford BID,120213
2019-09-29,Bradford BID,88411
2019-09-30,Bradford BID,130720
2019-10-01,Bradford BID,122084
2019-10-02,Bradford BID,126632
2019-10-03,Bradford BID,138356
2019-10-04,Bradford BID,143861
2019-10-05,Bradford BID,112794
2019-10-06,Bradford BID,81939
2019-10-07,Bradford BID,125852
2019-10-08,Bradford BID,118164
2019-10-09,Bradford BID,131180
2019-10-10,Bradford BID,129572
2019-10-11,Bradford BID,139431
2019-10-12,Bradford BID,104485
2019-10-13,Bradford BID,73151
2019-10-14,Bradford BID,126446
2019-10-15,Bradford BID,123726
2019-10-16,Bradford BID,131985
2019-10-17,Bradford BID,121102
2019-10-18,Bradford BID,131102
2019-10-19,Bradford BID,94829
2019-10-20,Bradford BID,68287
2019-10-21,Bradford BID,118366
2019-10-22,Bradford BID,123106
2019-10-23,Bradford BID,124987
2019-10-24,Bradford BID,122470
2019-10-25,Bradford BID,129957
2019-10-26,Bradford BID,97161
2019-10-27,Bradford BID,68801
2019-10-28,Bradford BID,117626
2019-10-29,Bradford BID,122757
2019-10-30,Bradford BID,121935
2019-10-31,Bradford BID,116404
2019-11-01,Bradford BID,130242
2019-11-02,Bradford BID,99278
2019-11-03,Bradford BID,71310
2019-11-04,Bradford BID,115421
2019-11-05,Bradford BID,116893
2019-11-06,Bradford BID,111606
2019-11-07,Bradford BID,113506
2019-11-08,Bradford BID,124241
2019-11-09,Bradford BID,98955
2019-11-10,Bradford BID,70194
2019-11-11,Bradford BID,116517
2019-11-12,Bradford BID,114565
2019-11-13,Bradford BID,103756
2019-11-14,Bradford BID,106914
2019-11-15,Bradford BID,118955
2019-11-16,Bradford BID,101376
2019-11-17,Bradford BID,69746
2019-11-18,Bradford BID,112123
2019-11-19,Bradford BID,112896
2019-11-20,Bradford BID,106223
2019-11-21,Bradford BID,105199
2019-11-22,Bradford BID,120334
2019-11-23,Bradford BID,103176
2019-11-24,Bradford BID,67876
2019-11-25,Bradford BID,108504
2019-11-26,Bradford BID,117167
2019-11-27,Bradford BID,105714
2019-11-28,Bradford BID,100524
2019-11-29,Bradford BID,119636
2019-11-30,Bradford BID,104949
2019-12-01,Bradford BID,68165
2019-12-02,Bradford BID,103884
2019-12-03,Bradford BID,111865
2019-12-04,Bradford BID,105655
2019-12-05,Bradford BID,94688
2019-12-06,Bradford BID,118122
2019-12-07,Bradford BID,101740
2019-12-08,Bradford BID,68319
2019-12-09,Bradford BID,103323
2019-12-10,Bradford BID,105096
2019-12-11,Bradford BID,103424
2019-12-12,Bradford BID,88599
2019-12-13,Bradford BID,114541
2019-12-14,Bradford BID,95274
2019-12-15,Bradford BID,63099
2019-12-16,Bradford BID,98227
2019-12-17,Bradford BID,95982
2019-12-18,Bradford BID,98164
2019-12-19,Bradford BID,90477
2019-12-20,Bradford BID,111804
2019-12-21,Bradford BID,94416
2019-12-22,Bradford BID,60934
2019-12-23,Bradford BID,95449
2019-12-24,Bradford BID,100066
2019-12-25,Bradford BID,92443
2019-12-26,Bradford BID,86344
2019-12-27,Bradford BID,108881
2019-12-28,Bradford BID,88694
2019-12-29,Bradford BID,62817
2019-12-30,Bradford BID,92136
2019-12-31,Bradford BID,99125
2020-01-01,Bradford BID,87875
2020-01-02,Bradford BID,88182
2020-01-03,Bradford BID,110356
2020-01-04,Bradford BID,87677
2020-01-05,Bradford BID,61404
2020-01-06,Bradford BID,91661
2020-01-07,Bradford BID,94843
2020-01-08,Bradford BID,80627
2020-01-09,Bradford BID,88475
2020-01-10,Bradford BID,105102
2020-01-11,Bradford BID,82451
2020-01-12,Bradford BID,62685
2020-01-13,Bradford BID,91761
2020-01-14,Bradford BID,83861
2020-01-15,Bradford BID,77497
2020-01-16,Bradford BID,88787
2020-01-17,Bradford BID,101320
2020-01-18,Bradford BID,81832
2020-01-19,Bradford BID,61207
2020-01-20,Bradford BID,88349
2020-01-21,Bradford BID,80209
2020-01-22,Bradford BID,75163
2020-01-23,Bradford BID,86940
2020-01-24,Bradford BID,97253
2020-01-25,Bradford BID,85087
2020-01-26,Bradford BID,57508
2020-01-27,Bradford BID,87735
2020-01-28,Bradford BID,82339
2020-01-29,Bradford BID,75947
2020-01-30,Bradford BID,89216
2020-01-31,Bradford BID,96932
2020-02-01,Bradford BID,85928
2020-02-02,Bradford BID,59903
2020-02-03,Bradford BID,87965
2020-02-04,Bradford BID,85312
2020-02-05,Bradford BID,76104
2020-02-06,Bradford BID,89294
2020-02-07,Bradford BID,95752
2020-02-08,Bradford BID,82036
2020-02-09,Bradford BID,58160
2020-02-10,Bradford BID,90346
2020-02-11,Bradford BID,79517
2020-02-12,Bradford BID,83027
2020-02-13,Bradford BID,89767
2020-02-14,Bradford BID,95077
2020-02-15,Bradford BID,83398
2020-02-16,Bradford BID,54264
2020-02-17,Bradford BID,89097
2020-02-18,Bradford BID,76954
2020-02-19,Bradford BID,89946
2020-02-20,Bradford BID,86141
2020-02-21,Bradford BID,92940
2020-02-22,Bradford BID,81112
2020-02-23,Bradford BID,57391
2020-02-24,Bradford BID,87035
2020-02-25,Bradford BID,79062
2020-02-26,Bradford BID,90377
2020-02-27,Bradford BID,85441
2020-02-28,Bradford BID,93496
2020-02-29,Bradford BID,81842
2020-03-01,Bradford BID,56939
2020-03-02,Bradford BID,89867
2020-03-03,Bradford BID,78889
2020-03-04,Bradford BID,91049
2020-03-05,Bradford BID,85234
2020-03-06,Bradford BID,96083
2020-03-07,Bradford BID,79362
2020-03-08,Bradford BID,57151
2020-03-09,Bradford BID,87976
2020-03-10,Bradford BID,82074
2020-03-11,Bradford BID,88828
2020-03-12,Bradford BID,84782
2020-03-13,Bradford BID,94927
2020-03-14,Bradford BID,71357
2020-03-15,Bradford BID,57715
2020-03-16,Bradford BID,87616
2020-03-17,Bradford BID,80142
2020-03-18,Bradford BID,83965
2020-03-19,Bradford BID,82076
2020-03-20,Bradford BID,90996
2020-03-21,Bradford BID,66446
2020-03-22,Bradford BID,55034
2020-03-23,Bradford BID,82313
2020-03-24,Bradford BID,70330
2020-03-25,Bradford BID,76178
2020-03-26,Bradford BID,72205
2020-03-27,Bradford BID,81174
2020-03-28,Bradford BID,58666
2020-03-29,Bradford BID,51648
2020-03-30,Bradford BID,70872
2020-03-31,Bradford BID,66070
2020-04-01,Bradford BID,67512
2020-04-02,Bradford BID,63866
2020-04-03,Bradford BID,71084
2020-04-04,Bradford BID,49916
2020-04-05,Bradford BID,46409
2020-04-06,Bradford BID,64153
2020-04-07,Bradford BID,57159
2020-04-08,Bradford BID,59849
2020-04-09,Bradford BID,58422
2020-04-10,Bradford BID,60068
2020-04-11,Bradford BID,41568
2020-04-12,Bradford BID,38765
2020-04-13,Bradford BID,57736
2020-04-14,Bradford BID,48177
2020-04-15,Bradford BID,50664
2020-04-16,Bradford BID,49758
2020-04-17,Bradford BID,53762
2020-04-18,Bradford BID,35597
2020-04-19,Bradford BID,35471
2020-04-20,Bradford BID,46379
2020-04-21,Bradford BID,42650
2020-04-22,Bradford BID,44402
2020-04-23,Bradford BID,43292
2020-04-24,Bradford BID,44778
2020-04-25,Bradford BID,28166
2020-04-26,Bradford BID,30836
2020-04-27,Bradford BID,38693
2020-04-28,Bradford BID,32143
2020-04-29,Bradford BID,35624
2020-04-30,Bradford BID,35249
2020-05-01,Bradford BID,37287
2020-05-02,Bradford BID,25287
2020-05-03,Bradford BID,23870
2020-05-04,Bradford BID,28154
2020-05-05,Bradford BID,24028
2020-05-06,Bradford BID,30558
2020-05-07,Bradford BID,27456
2020-05-08,Bradford BID,28162
2020-05-09,Bradford BID,21240
2020-05-10,Bradford BID,18924
2020-05-11,Bradford BID,24515
2020-05-12,Bradford BID,24703
2020-05-13,Bradford BID,27760
2020-05-14,Bradford BID,27538
2020-05-15,Bradford BID,28729
2020-05-16,Bradford BID,21393
2020-05-17,Bradford BID,17405
2020-05-18,Bradford BID,24764
2020-05-19,Bradford BID,22234
2020-05-20,Bradford BID,28072
2020-05-21,Bradford BID,25846
2020-05-22,Bradford BID,31035
2020-05-23,Bradford BID,22619
2020-05-24,Bradford BID,18358
2020-05-25,Bradford BID,26268
2020-05-26,Bradford BID,23593
2020-05-27,Bradford BID,29566
2020-05-28,Bradford BID,24590
2020-05-29,Bradford BID,34375
2020-05-30,Bradford BID,21203
2020-05-31,Bradford BID,19259
2020-06-01,Bradford BID,27088
2020-06-02,Bradford BID,24187
2020-06-03,Bradford BID,30955
2020-06-04,Bradford BID,25558
2020-06-05,Bradford BID,30412
2020-06-06,Bradford BID,19183
2020-06-07,Bradford BID,18326
2020-06-08,Bradford BID,29042
2020-06-09,Bradford BID,25128
2020-06-10,Bradford BID,29414
2020-06-11,Bradford BID,22932
2020-06-12,Bradford BID,29308
2020-06-13,Bradford BID,20995
2020-06-14,Bradford BID,17572
2020-06-15,Bradford BID,27561
2020-06-16,Bradford BID,25674
2020-06-17,Bradford BID,31692
2020-06-18,Bradford BID,24061
2020-06-19,Bradford BID,29579
2020-06-20,Bradford BID,23757
2020-06-21,Bradford BID,18643
2020-06-22,Bradford BID,27742
2020-06-23,Bradford BID,27374
2020-06-24,Bradford BID,31340
2020-06-25,Bradford BID,27332
2020-06-26,Bradford BID,34016
2020-06-27,Bradford BID,27164
2020-06-28,Bradford BID,19332
2020-06-29,Bradford BID,29162
2020-06-30,Bradford BID,28389
2020-07-01,Bradford BID,34242
2020-07-02,Bradford BID,28388
2020-07-03,Bradford BID,32422
2020-07-04,Bradford BID,30091
2020-07-05,Bradford BID,20973
2020-07-06,Bradford BID,31649
2020-07-07,Bradford BID,31094
2020-07-08,Bradford BID,34937
2020-07-09,Bradford BID,31688
2020-07-10,Bradford BID,34153
2020-07-11,Bradford BID,33602
2020-07-12,Bradford BID,22978
2020-07-13,Bradford BID,32902
2020-07-14,Bradford BID,33937
2020-07-15,Bradford BID,36996
2020-07-16,Bradford BID,35537
2020-07-17,Bradford BID,34742
2020-07-18,Bradford BID,38051
2020-07-19,Bradford BID,23723
2020-07-20,Bradford BID,34880
2020-07-21,Bradford BID,37751
2020-07-22,Bradford BID,39384
2020-07-23,Bradford BID,38323
2020-07-24,Bradford BID,40700
2020-07-25,Bradford BID,41585
2020-07-26,Bradford BID,27382
2020-07-27,Bradford BID,34575
2020-07-28,Bradford BID,38387
2020-07-29,Bradford BID,39993
2020-07-30,Bradford BID,42784
2020-07-31,Bradford BID,42246
2020-08-01,Bradford BID,42072
2020-08-02,Bradford BID,29088
2020-08-03,Bradford BID,38093
2020-08-04,Bradford BID,40732
2020-08-05,Bradford BID,38709
2020-08-06,Bradford BID,46272
2020-08-07,Bradford BID,44463
2020-08-08,Bradford BID,42835
2020-08-09,Bradford BID,31756
2020-08-10,Bradford BID,41835
2020-08-11,Bradford BID,43839
2020-08-12,Bradford BID,42052
2020-08-13,Bradford BID,47511
2020-08-14,Bradford BID,42280
2020-08-15,Bradford BID,44544
2020-08-16,Bradford BID,34485
2020-08-17,Bradford BID,46407
2020-08-18,Bradford BID,45833
2020-08-19,Bradford BID,45004
2020-08-20,Bradford BID,50245
2020-08-21,Bradford BID,45751
2020-08-22,Bradford BID,45397
2020-08-23,Bradford BID,35187
2020-08-24,Bradford BID,49976
2020-08-25,Bradford BID,48465
2020-08-26,Bradford BID,48474
2020-08-27,Bradford BID,52111
2020-08-28,Bradford BID,44665
2020-08-29,Bradford BID,44313
2020-08-30,Bradford BID,36445
2020-08-31,Bradford BID,50260
2020-09-01,Bradford BID,50528
2020-09-02,Bradford BID,48429
2020-09-03,Bradford BID,52884
2020-09-04,Bradford BID,48264
2020-09-05,Bradford BID,45940
2020-09-06,Bradford BID,36138
2020-09-07,Bradford BID,49960
2020-09-08,Bradford BID,51977
2020-09-09,Bradford BID,50783
2020-09-10,Bradford BID,54693
2020-09-11,Bradford BID,45361
2020-09-12,Bradford BID,48182
2020-09-13,Bradford BID,35974
2020-09-14,Bradford BID,51654
2020-09-15,Bradford BID,53790
2020-09-16,Bradford BID,52486
2020-09-17,Bradford BID,55533
2020-09-18,Bradford BID,47074
2020-09-19,Bradford BID,50138
2020-09-20,Bradford BID,36597
2020-09-21,Bradford BID,52713
2020-09-22,Bradford BID,57052
2020-09-23,Bradford BID,56542
2020-09-24,Bradford BID,57119
2020-09-25,Bradford BID,49425
2020-09-26,Bradford BID,49373
2020-09-27,Bradford BID,34976
2020-09-28,Bradford BID,52570
2020-09-29,Bradford BID,56167
2020-09-30,Bradford BID,55516
2020-10-01,Bradford BID,57929
2020-10-02,Bradford BID,51599
2020-10-03,Bradford BID,46747
2020-10-04,Bradford BID,33630
2020-10-05,Bradford BID,49269
2020-10-06,Bradford BID,55502
2020-10-07,Bradford BID,55247
2020-10-08,Bradford BID,58299
2020-10-09,Bradford BID,51159
2020-10-10,Bradford BID,47022
2020-10-11,Bradford BID,34442
2020-10-12,Bradford BID,47046
2020-10-13,Bradford BID,54328
2020-10-14,Bradford BID,51806
2020-10-15,Bradford BID,57754
2020-10-16,Bradford BID,52188
2020-10-17,Bradford BID,47676
2020-10-18,Bradford BID,31327
2020-10-19,Bradford BID,47114
2020-10-20,Bradford BID,52916
2020-10-21,Bradford BID,49598
2020-10-22,Bradford BID,57735
2020-10-23,Bradford BID,48758
2020-10-24,Bradford BID,44740
2020-10-25,Bradford BID,30737
2020-10-26,Bradford BID,47076
2020-10-27,Bradford BID,50487
2020-10-28,Bradford BID,46882
2020-10-29,Bradford BID,56001
2020-10-30,Bradford BID,51931
2020-10-31,Bradford BID,42857
2020-11-01,Bradford BID,30015
2020-11-02,Bradford BID,47460
2020-11-03,Bradford BID,49346
2020-11-04,Bradford BID,49286
2020-11-05,Bradford BID,53437
2020-11-06,Bradford BID,49903
2020-11-07,Bradford BID,40432
2020-11-08,Bradford BID,27969
2020-11-09,Bradford BID,46420
2020-11-10,Bradford BID,45428
2020-11-11,Bradford BID,46662
2020-11-12,Bradford BID,49717
2020-11-13,Bradford BID,46268
2020-11-14,Bradford BID,37590
2020-11-15,Bradford BID,26979
2020-11-16,Bradford BID,46477
2020-11-17,Bradford BID,44330
2020-11-18,Bradford BID,46453
2020-11-19,Bradford BID,47255
2020-11-20,Bradford BID,45308
2020-11-21,Bradford BID,35501
2020-11-22,Bradford BID,25323
2020-11-23,Bradford BID,45604
2020-11-24,Bradford BID,43960
2020-11-25,Bradford BID,43259
2020-11-26,Bradford BID,46811
