datestamp,value
2024-12-01,142
2024-12-02,157
2024-12-03,146
2024-12-04,140
2024-12-05,142
2024-12-06,173
2024-12-07,172
2024-12-08,136
2024-12-09,165
2024-12-10,144
2024-12-11,148
2024-12-12,150
2024-12-13,163
2024-12-14,160
2024-12-15,148
2024-12-16,165
2024-12-17,157
2024-12-18,153
2024-12-19,145
2024-12-20,120
2024-12-21,116
2024-12-22,167
2024-12-23,111
2024-12-24,156
2024-12-25,44
2024-12-26,102
2024-12-27,164
2024-12-28,161
2024-12-29,130
2024-12-30,182
2024-12-31,163
