geography_code,geography_name,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group,order
E05001364,Toller (Bradford),82.7,1.5,2.0,10.6,3.2,-82.7
E05001346,Bradford Moor,79.8,2.7,2.2,12.6,2.7,-79.8
E05001359,Manningham,79.1,3.3,2.2,11.9,3.5,-79.1
E05001352,Heaton (Bradford),71.9,1.1,2.5,21.7,2.8,-71.9
E05001358,Little Horton,64.2,5.1,3.3,22.4,4.9,-64.2
E05001347,City (Bradford),60.2,7.9,3.3,21.6,6.9,-60.2
E05001351,Great Horton,59.6,2.9,3.3,29.8,4.4,-59.6
E05001355,Keighley Central,59.5,0.7,1.5,36.3,2.0,-59.5
E05001345,Bowling and Barkerend,54.4,3.6,3.6,35.0,3.4,-54.4
E05001348,Clayton and Fairweather Green,39.6,1.9,3.2,53.2,2.0,-39.6
E05001344,Bolton and Undercliffe,38.6,1.9,3.7,53.0,2.7,-38.6
E05001367,Wibsey,29.7,2.2,3.6,62.7,1.8,-29.7
E05001363,Thornton and Allerton,27.0,2.0,4.1,65.3,1.6,-27.0
E05001356,Keighley East,20.2,0.6,2.1,76.2,0.9,-20.2
E05001350,Eccleshill,17.9,1.7,3.8,75.5,1.1,-17.9
E05001362,Shipley,16.5,1.0,3.1,78.2,1.2,-16.5
E05001361,Royds,12.1,2.2,3.7,81.1,0.9,-12.1
E05001365,Tong,11.6,4.4,4.3,78.5,1.2,-11.6
E05001368,Windhill and Wrose,10.5,1.3,3.0,83.5,1.6,-10.5
E05001360,Queensbury (Bradford),9.9,1.0,2.5,85.8,0.8,-9.9
E05001357,Keighley West,8.9,0.6,2.4,87.4,0.7,-8.9
E05001343,Bingley Rural,6.1,0.5,2.3,90.5,0.6,-6.1
E05001370,Wyke,5.8,1.3,2.7,89.7,0.6,-5.8
E05001353,Idle and Thackley,4.4,0.7,3.0,91.2,0.7,-4.4
E05001342,Bingley,2.9,0.7,1.8,94.2,0.4,-2.9
E05001341,Baildon,2.3,0.5,1.7,95.1,0.4,-2.3
E05001349,Craven,2.1,0.5,1.1,96.1,0.3,-2.1
E05001354,Ilkley,1.7,0.4,2.0,95.6,0.3,-1.7
E05001366,Wharfedale (Bradford),1.4,0.4,1.4,96.5,0.3,-1.4
E05001369,Worth Valley,0.7,0.3,1.4,97.3,0.2,-0.7
