project_name,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01
A Good Yarn: Luke Jerram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0
A Portrait of Us - Outdoor Exhibition,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
A Screen Near You - Cinema for All (grassroots development and screening),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1
A Screen Near You - The Incredible Moving Cinema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0
ARCHIVE: How Soon Is Now (grant dependent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Akram Khan and Dance United - Memories of the Future,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0
An Evening with Resi/Dance @ The Beacon (Dance United),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
An Evening with: Jacqui Dankworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Aswad Arts Presents StreetSounds ""LIVE"" Bhangra Niche Set ""LIVE""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
At The 1 in 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
BBC Extraordinary Portraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0
BBC Introducing @ The Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
BBC Introducing at The Underground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
BBC: Not Even Water Live (Podcast Recording),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BD is Lit 2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD: Walls,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,2,3,0
Back In The Pink - Castles In The Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basel Zaraa - Moomins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0
Bassline Symphony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,19,7,3,0
Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Beacon Church Community Cuppa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beacon Feature Curtain,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Big Brass Blowout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
Big Quiffy Bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Big Screen - Cannon Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Bloom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
Bradford Belles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bradford Glow,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford Literature Festival - New Commissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bradford Literature Festival @ Loading Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Bradford Made MASTER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Bradford Poetry Slam 2025,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,6,1,2,3,0
Bradford Producing Hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0
Bradford Sanctuary Seekers Education Awards 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bradford Selection,0,0,0,0,0,0,0,7,7,7,7,2,0,0,0,0,0,0,1,0
Bradford South Young Peoples Celebration (Youth Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bradford on Foot,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,9,2
Bradford's Bigger Picture - Pictureville Year Round Programme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1
Bradford: A City of Film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
CBeebies Bedtime Story Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Channels (Bodies of Water) - Turbynes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1
Claytime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Closing Event - Emily Lim/Dan Canham,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Club Ekta Events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Comma Press 'Book of the City',0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
Common/Wealth: Public Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,12,0,0
Compagnie Off: Giraffes,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Connecting Communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Creative Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Cricket Tournament Awards Ceremony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cultural Learning Steering Group,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0
Curious Investigators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DRAW & Messy Play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
DRAW!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,0,0
Dancing with Colours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
David Hockney: Pieced Together,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,31,30,16,0,0
Daytimers (Heritage Bradford stories),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Digital Creatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Digital Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Do your thing micro awards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
Dracula - Black Eyed Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragons - Eun-Me Ahn Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Drum Roll Please,0,3,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Earth & Sky (part of Wild Uplands),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Easter Fun and Celebration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eggs Collective Dark Nights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Elevate - Heritage Skills Project,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
Eliza Carthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
