week_ending,MainProgrammeEvent,SectorEvent,UNKNOWN,VIPReceptionEvent
2024-09-01 00:00:00,3,0,0,0
2024-10-13 00:00:00,0,0,4,0
2024-10-20 00:00:00,0,0,6,0
2024-10-27 00:00:00,603,0,15,0
2024-11-03 00:00:00,78,0,4,0
2024-11-10 00:00:00,2515,0,4,0
2024-11-17 00:00:00,388,0,0,0
2024-11-24 00:00:00,5703,0,8,4
2024-12-01 00:00:00,1086,0,0,0
2024-12-08 00:00:00,933,17,1,142
2024-12-15 00:00:00,2357,0,0,85
2024-12-22 00:00:00,2889,0,0,102
2024-12-29 00:00:00,2330,0,33,33
2025-01-05 00:00:00,4303,0,7,54
2025-01-12 00:00:00,7764,0,9,289
2025-01-19 00:00:00,1644,12,23,59
2025-01-26 00:00:00,2449,6,5,0
2025-02-02 00:00:00,1713,6,17,0
2025-02-09 00:00:00,973,8,38,0
2025-02-16 00:00:00,638,11,2,0
2025-02-23 00:00:00,712,16,1,32
2025-03-02 00:00:00,1487,0,118,59
2025-03-09 00:00:00,1863,57,35,44
2025-03-16 00:00:00,1699,1,37,55
2025-03-23 00:00:00,1462,273,57,21
2025-03-30 00:00:00,1181,0,41,7
2025-04-06 00:00:00,2285,31,41,33
2025-04-13 00:00:00,2977,10,100,74
2025-04-20 00:00:00,1229,6,49,50
2025-04-27 00:00:00,1601,273,185,122
2025-05-04 00:00:00,1703,58,14,50
2025-05-11 00:00:00,1073,7,51,18
2025-05-18 00:00:00,1426,301,92,41
2025-05-25 00:00:00,2511,30,150,0
2025-06-01 00:00:00,2420,47,12,24
2025-06-08 00:00:00,4471,43,96,48
2025-06-15 00:00:00,1528,7,11,132
2025-06-22 00:00:00,1037,30,9,90
2025-06-29 00:00:00,2165,28,21,132
2025-07-06 00:00:00,2058,252,18,262
2025-07-13 00:00:00,1703,111,20,90
2025-07-20 00:00:00,5961,67,57,42
2025-07-27 00:00:00,5650,49,36,29
2025-08-03 00:00:00,7153,82,15,206
2025-08-10 00:00:00,6348,41,4,58
2025-08-17 00:00:00,5046,13,0,136
2025-08-24 00:00:00,2325,13,0,71
2025-08-31 00:00:00,2368,17,3,32
2025-09-07 00:00:00,4798,39,10,233
2025-09-14 00:00:00,3119,67,16,288
2025-09-21 00:00:00,4603,69,9,299
2025-09-28 00:00:00,6945,63,3,214
2025-10-05 00:00:00,13505,42,2,33
2025-10-12 00:00:00,6935,45,52,13
2025-10-19 00:00:00,3757,167,14,5
2025-10-26 00:00:00,7390,132,8,2
2025-11-02 00:00:00,6828,130,28,1
2025-11-09 00:00:00,5075,506,110,0
