type,code,count
osward,E05001341,46
osward,E05001342,66
osward,E05001343,36
osward,E05001344,42
osward,E05001345,80
osward,E05001346,52
osward,E05001347,409
osward,E05001348,35
osward,E05001349,16
osward,E05001350,51
osward,E05001351,55
osward,E05001352,75
osward,E05001353,23
osward,E05001354,33
osward,E05001355,29
osward,E05001356,25
osward,E05001357,13
osward,E05001358,53
osward,E05001359,56
osward,E05001360,31
osward,E05001361,40
osward,E05001362,141
osward,E05001363,63
osward,E05001364,48
osward,E05001365,41
osward,E05001366,19
osward,E05001367,31
osward,E05001368,29
osward,E05001369,21
osward,E05001370,22
