week_ending,BD25 Event,Bradford 2025 Turner Prize,Education/Session,Evaluation,Induction,Third Party Event
2024-08-18,467.0,0.0,0.0,0.0,0.0,120.0
2024-08-25,620.75,0.0,0.0,0.0,0.0,151.5
2024-09-01,624.75,0.0,0.0,0.0,0.0,151.5
2024-09-08,636.75,0.0,0.0,34.0,0.0,174.0
2024-09-15,895.75,0.0,0.0,34.0,0.0,204.0
2024-09-22,895.75,0.0,0.0,60.0,0.0,234.0
2024-09-29,895.75,0.0,0.0,60.0,0.0,234.0
2024-10-06,895.75,0.0,0.0,60.0,0.0,234.0
2024-10-13,895.75,0.0,0.0,60.0,0.0,234.0
2024-10-20,895.75,0.0,0.0,118.0,0.0,234.0
2024-10-27,895.75,0.0,0.0,152.0,0.0,288.0
2024-11-03,895.75,0.0,0.0,152.0,99.0,288.0
2024-11-10,895.75,0.0,0.0,174.0,462.0,288.0
2024-11-17,895.75,0.0,48.0,194.0,777.0,288.0
2024-11-24,921.75,0.0,96.0,224.0,777.0,288.0
2024-12-01,957.75,0.0,96.0,224.0,1023.0,288.0
2024-12-08,987.75,0.0,160.0,248.0,1107.0,288.0
2024-12-15,1024.75,0.0,232.0,248.0,1356.0,288.0
2024-12-22,1057.25,0.0,232.0,248.0,1356.0,288.0
2024-12-29,1057.25,0.0,232.0,248.0,1356.0,288.0
2025-01-05,1057.25,0.0,232.0,248.0,1356.0,288.0
2025-01-12,2301.0,0.0,232.0,248.0,1356.0,288.0
2025-01-19,2443.0,0.0,264.0,260.0,1356.0,288.0
2025-01-26,2646.0,0.0,296.0,260.0,1566.0,288.0
2025-02-02,2924.5,0.0,296.0,260.0,1920.0,288.0
2025-02-09,3150.5,0.0,296.0,260.0,1920.0,288.0
2025-02-16,3988.0,0.0,296.0,260.0,1920.0,288.0
2025-02-23,4513.0,0.0,296.0,300.0,2010.0,288.0
2025-03-02,5004.5,0.0,296.0,300.0,2097.0,288.0
2025-03-09,5218.0,0.0,296.0,300.0,2097.0,288.0
2025-03-16,5677.0,0.0,296.0,300.0,2145.0,288.0
2025-03-23,6001.5,0.0,296.0,360.0,2145.0,288.0
2025-03-30,6315.5,0.0,384.0,360.0,2241.0,288.0
2025-04-06,6857.0,0.0,464.0,360.0,2334.0,288.0
2025-04-13,7535.5,0.0,464.0,360.0,2334.0,309.0
2025-04-20,8200.75,0.0,464.0,382.0,2434.0,309.0
2025-04-27,8849.0,0.0,464.0,382.0,2434.0,309.0
2025-05-04,9452.167,0.0,464.0,382.0,2485.0,309.0
2025-05-11,10180.917,0.0,464.0,382.0,2485.0,309.0
2025-05-18,10866.25,0.0,639.0,408.0,2548.0,309.0
2025-05-25,11775.0,0.0,639.0,408.0,2608.0,343.0
2025-06-01,12465.75,0.0,639.0,408.0,2707.0,343.0
2025-06-08,13157.0,0.0,639.0,408.0,2707.0,343.0
2025-06-15,14321.083,0.0,639.0,408.0,2746.0,395.0
2025-06-22,15069.833,0.0,639.0,428.0,2812.0,395.0
2025-06-29,15375.083,0.0,639.0,428.0,2845.0,413.5
2025-07-06,15769.583,0.0,639.0,428.0,2866.0,413.5
2025-07-13,16280.5,0.0,727.0,428.0,2932.0,413.5
2025-07-20,17064.5,0.0,815.0,430.0,2965.0,451.5
2025-07-27,18256.25,0.0,815.0,430.0,2965.0,451.5
2025-08-03,19378.75,0.0,815.0,430.0,3019.0,451.5
2025-08-10,20382.5,0.0,815.0,430.0,3058.0,451.5
2025-08-17,21329.75,0.0,815.0,430.0,3118.0,451.5
2025-08-24,22184.0,0.0,815.0,430.0,3118.0,451.5
2025-08-31,23274.5,0.0,815.0,430.0,3160.0,451.5
2025-09-07,24355.25,0.0,815.0,430.0,3211.0,451.5
2025-09-14,24907.0,0.0,815.0,430.0,3241.0,451.5
2025-09-21,25727.0,0.0,815.0,460.0,3274.0,451.5
2025-09-28,26507.0,366.0,815.0,460.0,3307.0,451.5
2025-10-05,26828.25,742.25,815.0,460.0,3324.5,451.5
2025-10-12,26868.75,804.25,815.0,460.0,3324.5,451.5
